IVR Associated with Campaign(s),Campaign(s),Stats tab invoked by scripts
AA AU Consumer Care - Studio,AA AU Consumer Care,
AA Better Life - Studio - EBS Maintenance,AA Better Life,
AA CA Consumer Care - Studio,AA CA Consumer Care,
AA NZ Consumer Care - Studio,AA NZ Consumer Care,
AA Rental - v2 - Studio - EBS Maintenance,AA Rental - Test,
AA Rental -beginning 12.5.22,AA Rental,
AA Sanitaire Consumer Care - Studio - EBS Maintenance,"AA Sanitaire Consumer Care,AA Sanitaire Consumer Care - Test",
AA Sanitaire SVC Center V1.1 - Studio - EBS Maintenance,"AA Sanitaire SVC Center,AA Sanitaire SVC Center - Test",
AA SVC Center - Studio - EBS Maintenance,"AA SVC Center,AA SVC Center - Test",
AA US ADA - Studio - EBS Maintenance,"AA ADA,AA ADA - Test",
AA US Connected - Studio,AA US Connected,
AA US Consumer Care - Loopback - Studio,AA US Consumer Care,
AA US Robot Recal - StudioVoice - V2 - EBS Maintenance,"IB US Robot Recal,IB US Robot Recal - Test",
Five9_to_IVA - V3 - 20231211 ,"AA CA Consumer Care,AA US Connected",
Five9_to_IVA - V3 - 20231211  - French Test Only,AA CA Consumer Care - Test,
Five9_to_IVA -EBS Maintenance,AA US Consumer Care,
IB AU Accounts,IB AU Accounts,
IB AU Connected Troubleshooting,IB AU Connected Troubleshooting,
IB AU Customer Service,IB AU Customer Service,
IB AU Head Office,IB AU Head Office,
IB AU Orders,"IB AU Orders,TTT_IB_AU_Orders",
IB AU Recall,IB AU Recall,
IB CA QCB - Deep Cleaner Announcements,"IB CA Deep Cleaner Sales,IB CA Deep Cleaners",
IB CA QCB - Other Announcements,"IB CA Other Products Sales,IB CA Other Products",
IB CA QCB - Steam Announcements,"IB CA Steam Sales,IB CA Steam",
IB CA QCB - Vacuum Announcements,"IB CA Vacuum Sales,IB CA Vacuums",
IB CA Recall  - French 2,IB CA Recall,
IB Escalations AU,IB Escalation AU,
IB Escalations BHI,IB Escalation BHI,
IB Escalations TP,IB Escalation TP,
IB French all Skills v2,IB fr-CA,
IB GR Resolutions,IB GR Resolutions,
IB NZ Orders,IB NZ Orders,
IB NZ Recall,IB NZ Recall,
IB Queue - No QCB - No VM - No Announcements,"IB Sanitaire Orders,IB Sanitaire Products,IB Sanitaire Other,IB Sanitaire Escalation",
IB Rental,IB Rental,
IB Sanitaire SVC Center Support,IB Sanitaire SVC Center Support,
IB SVC Center - No QCB - No VM,"IB SVC Center Orders,IB SVC Center Tech Support",
IB US Claims,IB US Claims,
IB US Crosswave Connected,IB US Crosswave Connected,
IB US Other Products V3,IB US Robotics Connected,
IB US Other Products V3 - EBS Maintenance,AA US Robotic Connected,
IB US QCB - Deep Cleaner Announcements,"IB US Deep Cleaner Sales,IB US Deep Cleaners,IB Better Life,IB BPN New Order,IB BPN Exisiting Order,IB BPN Product Issues,IB BPN Pet Products,IB BPN Troubleshooting,IB US Connected Orders_payments,IB US Connected Troubleshooting",
IB US QCB - Other Announcements,"IB US Other Products Sales,IB US Other Products,zzzTest_IB US Other Products Sales,zzzTest_IB US Other Products",
IB US QCB - Steam Announcements,"IB US Steam Sales,IB US Steam",
IB US QCB - Vacuum Announcements,"IB US Vacuum Sales,IB US Vacuums,IB US Vacuum Sales Test",
IB US Recall 2,IB US Recall,
IB US Vacuum Announcements - No QCB,"IB ADA Orders,IB ADA Support",
IB Walmart,IB Walmart,
Mobile_2.0,Mobile_2.0,
Update Campaign State,Update Escalation Campaign Status,
